Reg charity number,Sub charity number,Charity name,Date registered,Status,Date for financial year ending,Total income,Total spending,Charitable spending,Income generation and governance,Retained for future use,Public address,Website,Email,Telephone,Company number,What the charity does,Who the charity helps,How the charity works,
102243,0,Galliagh Women's Group,20/08/2015,Up-to-date,31 March 2019,80022,78657,0,0,0,"63 Galliagh Park, Londonderry, BT48 8DE",,enquiries@galliaghwomensgroup.co.uk,(028) 71356092,0,"The advancement of education,The advancement of health or the saving of lives,The advancement of citizenship or community development,Other charitable purposes","Adult training,General public,Mental health,Older people,Specific areas of deprivation,Voluntary and community sector,Volunteers,Women","Community development,Education/training,Medical/health/sickness,Welfare/benevolent",
102244,0,Belfast Indoor Football,15/04/2015,Removed,30 April 2020,0,0,0,0,0,"Unit 3, 17 Balmoral Road, Belfast, BT12 6QA",www.citysportsbelfast.com,niall@citysportsbelfast.co.uk,07803 858700,0,The advancement of amateur sport,General public,"Cross-border/cross-community,Sport/recreation",
102245,0,Wandsworth Community Association,22/02/2016,Up-to-date,31 March 2019,74221,73423,0,0,0,"6 Strandburn Court, Belfast, BT4 1NR",www.wandsworthcommunitycentre.com,alison_smith4@talk21.com,07903674698,0,"The advancement of citizenship or community development,Other charitable purposes","Carers,Children (5-13 year olds),Community safety/crime prevention,General public,Interface communities,Older people,Parents,Preschool (0-5 year olds),Tenants,Voluntary and community sector,Volunteers,Women,Youth (14-25 year olds)","Advice/advocacy/information,Arts,Community development,Community transport,Cross-border/cross-community,Cultural,Education/training,Environment/sustainable development/conservation,General charitable purposes,Sport/recreation,Volunteer development,Youth development",
102246,0,Newry And Mourne Co-Operative Limited,01/04/2016,Up-to-date,30 March 2019,985933,917396,0,0,0,"Enterprise House, Win Business Park, Canal Quay, Newry, Co.Down, BT35 6PH",www.nmea.net,info@nmea.net,028 30267011,0,"The prevention or relief of poverty,The advancement of education,The advancement of citizenship or community development","Adult training,Ethnic minorities,General public,Unemployed/low income,Voluntary and community sector,Youth (14-25 year olds)","Community development,Community enterprise,Counselling/support,Cross-border/cross-community,Economic development,Education/training,Relief of poverty,Research/evaluation,Rural development,Urban development,Youth development",
102247,0,North Down Ymca,17/08/2016,Up-to-date,31 March 2019,593941,567498,0,0,0,"North Down Ymca, 10-12 High Street, Bangor, BT20 5AY",www.northdownymca.org,info@northdownymca.org,+442891454290,48892,"The advancement of education,The advancement of religion,The relief of those in need by reason of youth, age, ill-health, disability, financial hardship or other disadvantage,Other charitable purposes","Adult training,Children (5-13 year olds),Ethnic minorities,Homelessness,Men,Mental health,Older people,Parents,Specific areas of deprivation,Tenants,Volunteers,Women,Youth (14-25 year olds)","Advice/advocacy/information,Community development,Education/training,Playgroup/after schools,Relief of poverty,Volunteer development,Youth development",
102248,0,Ballynafeigh Community Development Association,16/09/2015,Up-to-date,31 March 2019,449249,452274,0,0,0,"283 Ormeau Road, Belfast 7, BT7 3GG",www.facebook.com/ballynafeighcommunityhouse,katie.hanlon@bcda.net,02890 491161,0,"The prevention or relief of poverty,The advancement of education,The advancement of health or the saving of lives,The advancement of citizenship or community development,The advancement of the arts, culture, heritage or science,The advancement of human rights, conflict resolution or reconciliation or the promotion of  religious or racial harmony or equality and diversity,The relief of those in need by reason of youth, age, ill-health, disability, financial hardship or other disadvantage","Adult training,Carers,Children (5-13 year olds),General public,Men,Older people,Parents,Physical disabilities,Preschool (0-5 year olds),Unemployed/low income,Voluntary and community sector,Volunteers,Women,Youth (14-25 year olds)","Advice/advocacy/information,Community development,Education/training,Human rights/equality,Playgroup/after schools,Relief of poverty,Urban development,Volunteer development,Youth development",
102250,0,Kinawley Community Partnership,14/03/2016,Up-to-date,31 March 2019,300,681,0,0,0,"Kinawley Community Partnership, Unit 3, Kinawley Enterprise Park, Kinawley, County Fermanagh, BT92 4FH",,kinawleyenterprise@btconnect.com,028 6634 9936,0,"The advancement of education,The advancement of citizenship or community development","General public,Older people","Community development,General charitable purposes,Sport/recreation",
102251,0,Row The Erne,25/08/2016,Up-to-date,31 December 2018,18140,17794,0,0,0,"12 Drumlin Heights, Enniskillen, Row The Erne, BT74 7NR",www.rowtheerne.com,joinus@rowtheerne.com,07736058027,0,"The advancement of citizenship or community development,The advancement of the arts, culture, heritage or science,The advancement of amateur sport,The advancement of environmental protection or improvement,The relief of those in need by reason of youth, age, ill-health, disability, financial hardship or other disadvantage,Other charitable purposes",General public,"Community development,Cross-border/cross-community,Cultural,Disability,Education/training,Environment/sustainable development/conservation,Heritage/historical,Rural development,Sport/recreation,Volunteer development",
102252,0,Belfast Ymca Limited,03/04/2017,Up-to-date,31 March 2019,736410,821493,0,0,0,"Belfast Ymca, 58 Knightsbridge Park, Belfast, BT9 5EH",www.belfastymca.org,hello@belfast-ymca.org,02890684667,0,"The advancement of education,The advancement of religion,The advancement of health or the saving of lives,The advancement of citizenship or community development,The relief of those in need by reason of youth, age, ill-health, disability, financial hardship or other disadvantage","Children (5-13 year olds),General public,Preschool (0-5 year olds),Voluntary and community sector,Youth (14-25 year olds)","Cross-border/cross-community,Education/training,Playgroup/after schools,Sport/recreation,Volunteer development,Youth development",
102254,0,Bellaghy Womens Group,10/04/2015,Up-to-date,31 August 2019,10083,5138,0,0,0,"2 Birchwood, Bellaghy, Magherafelt, BT45 8JZ",,bellaghywomensgroup@outlook.com,028 7938 6424,0,The advancement of education,"Adult training,Women","Community development,Cross-border/cross-community,Education/training",
102256,0,The Wesley Trust (High Street Methodist) Lurgan,16/10/2015,Up-to-date,31 December 2018,20320,16202,0,0,0,"21 High Street, Lurgan, County Armagh, BT66 8AA",,,028 38881588,0,"The prevention or relief of poverty,The advancement of education,The advancement of religion,The relief of those in need by reason of youth, age, ill-health, disability, financial hardship or other disadvantage","General public,Voluntary and community sector,Youth (14-25 year olds)","Counselling/support,Education/training,General charitable purposes,Relief of poverty,Religious activities,Youth development",
102259,0,The European Angus Cattle Registration Company,12/11/2015,Up-to-date,31 December 2019,40,153,0,0,0,"78 Drumlin Road, Donaghcloney, Craigavon, County Armagh, BT66 7NJ",www.europeanangus.co.uk,info@europeanangus.co.uk,07778 664468,0,"The advancement of animal welfare,Other charitable purposes","General public,Overseas/developing countries,Youth (14-25 year olds)","Advice/advocacy/information,Animal welfare,Cross-border/cross-community,Economic development,Education/training,Rural development,Youth development",
102262,0,Medaid4kids,13/10/2015,Up-to-date,31 July 2019,10625,10328,0,0,0,"1St Floor  Melville Morgan Funeral, 195A York Road, Belfast, BT15 3HB",www.medaid4kids.com,info@medaid4kids.com,07703461515,0,"The prevention or relief of poverty,The advancement of health or the saving of lives,The advancement of human rights, conflict resolution or reconciliation or the promotion of  religious or racial harmony or equality and diversity,The relief of those in need by reason of youth, age, ill-health, disability, financial hardship or other disadvantage","Overseas/developing countries,Physical disabilities,Specific areas of deprivation","Cross-border/cross-community,Medical/health/sickness,Overseas aid/famine relief,Relief of poverty,Volunteer development",
102263,0,Life Triumphant Church Full Gospel Alliance,09/02/2016,Up-to-date,06 April 2019,17808,15785,0,0,0,"Life Triumphant Church, 45 Market Street, Omagh, County Tyrone, BT78 1EL",www.lifetriumphantchurch.wix.com/ltcomagh,pamela@lifetriumphantchurch.com,07714987202,0,"The advancement of education,The advancement of religion,The relief of those in need by reason of youth, age, ill-health, disability, financial hardship or other disadvantage","General public,Parents,Specific areas of deprivation","Counselling/support,Religious activities",
102264,0,The Wednesday Together Club,02/11/2015,Due documents received late,30 September 2018,1402,792,0,0,0,"Ballynagolan Road, Aghavilly, Armagh, BT60 3PS",,,028 3752 4526,0,The advancement of citizenship or community development,Older people,Community development,
102266,0,North City Business Centre,20/04/2015,Up-to-date,31 March 2019,607080,482513,0,0,0,"North City Business Centre, 2 Duncairn Gardens, Belfast, BT15 2GG",www.north-city.co.uk,mailbox@north-city.co.uk,02890747470,0,"The prevention or relief of poverty,The advancement of education,The advancement of citizenship or community development","Adult training,General public,Unemployed/low income","Advice/advocacy/information,Community enterprise,Economic development,Education/training,Relief of poverty",
102267,0,Ambassadors Football (Ireland),09/06/2015,Up-to-date,31 December 2018,98110,88324,0,0,0,"9A Corcreevy Road, Richhill, Armagh, County Armagh, BT61 9JR",http://ie.ambassadorsfootball.org/,ireland@ambassadorsfootball.org,07739017143,0,"The advancement of religion,The advancement of amateur sport","Children (5-13 year olds),Men,Overseas/developing countries,Preschool (0-5 year olds),Volunteers,Women,Youth (14-25 year olds)","Cross-border/cross-community,Education/training,Religious activities,Sport/recreation,Volunteer development,Youth development",
102268,0,Rice Kitchen Ministries Trust,25/08/2015,Up-to-date,31 December 2018,6358,7469,0,0,0,"117 Moat Road, Ballymena, County Antrim, BT42 4AA",,ricekitchenministries@live.co.uk,02825640762,0,"The prevention or relief of poverty,The advancement of education,The advancement of religion",Children (5-13 year olds),General charitable purposes,
102269,0,The Schools Tennis Project Limited,04/09/2015,Due documents received late,31 August 2018,53126,70683,0,0,0,"4 Blaris Court, Lisburn, County Antrim, BT27 5LN",,brian@tennisfundamentals.com,028 9266 0653,0,The advancement of amateur sport,"Adult training,Children (5-13 year olds),Youth (14-25 year olds)","Education/training,Playgroup/after schools,Sport/recreation",
102270,0,Moneyslane Rural Community Hub,05/06/2015,Up-to-date,31 July 2018,20714,19076,0,0,0,"69 Ballyward Road, Castlewellan, BT31 9PS",,,07929158606,0,"The advancement of education,The advancement of health or the saving of lives,The advancement of citizenship or community development,The advancement of amateur sport,The advancement of environmental protection or improvement,The relief of those in need by reason of youth, age, ill-health, disability, financial hardship or other disadvantage","Adult training,Community safety/crime prevention,Ethnic minorities,General public,Men,Mental health,Older people,Parents,Specific areas of deprivation,Unemployed/low income,Voluntary and community sector,Volunteers,Women,Youth (14-25 year olds)","Community development,Community transport,Disability,Education/training,Rural development,Sport/recreation",
102271,0,Country Comes To Town,17/06/2015,Due documents received late,30 September 2018,24947,31360,0,0,0,"Millennium Court Arts Centre, William Street, Portadown, County Armagh, BT62 3NX",www.countrycomestotown.co.uk,bryanmcl48@live.co.uk,028 3833 3848,0,"The advancement of education,The advancement of citizenship or community development,The advancement of the arts, culture, heritage or science","Ethnic minorities,General public,Interface communities,Voluntary and community sector","Community development,Cross-border/cross-community,Heritage/historical,Volunteer development",
